,Etapa,Componente,Rede,Código da CREDE,CREDE,Código do Município,Município,Código da Escola,Escola,Edição,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,% Não Alfabetizado,% Alfabetização Incompleta,% Intermediário (2º Ano),% Suficiente,% Desejável,% Muito Crítico,% Crítico,% Intermediário,% Adequado,Nº de Alunos Previstos,Nº de Alunos Avaliados,Participação (%)
225329,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307650,Maracanaú,23079495,ADAHIL BARRETO CAVALCANTE EEFM,2008,237.235162775426,45.7404767109016,Crítico,,,,,,40.8333333333333,35.8333333333333,21.6666666666667,1.66666666666667,224,120,53.5714285714286
225330,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307650,Maracanaú,23079533,ALBANIZA ROCHA SARASATE EEFM,2008,218.378614224941,45.5430406170404,Muito Crítico,,,,,,60.0,22.0,18.0,0.0,121,50,41.3223140495868
225331,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2304285,Eusébio,23064323,ANA BEZERRA DE SA EEFM,2008,238.965352989522,45.4699834179614,Crítico,,,,,,40.5172413793103,35.3448275862069,21.8390804597701,2.29885057471264,430,348,80.9302325581395
225332,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307700,Maranguape,23081945,ANCHIETA COLEGIO ESTADUAL,2008,226.762635195879,46.2000873477743,Crítico,,,,,,49.8084291187739,33.7164750957854,15.3256704980843,1.14942528735632,416,261,62.7403846153846
225333,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307700,Maranguape,23249676,ANTONIO LUIZ COELHO EEFM,2008,241.84183169073,38.8422003637819,Crítico,,,,,,38.5714285714286,40.7142857142857,20.7142857142857,0.0,173,140,80.9248554913295
225334,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307700,Maranguape,23081988,ANTONIO MARQUES DE ABREU EEFM,2008,211.009197267862,37.3890936015193,Muito Crítico,,,,,,64.6153846153846,33.8461538461538,1.53846153846154,0.0,78,65,83.3333333333333
225335,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307650,Maracanaú,23079649,ANTONIO MARTINS FILHO - EEFM PROFESSOR,2008,220.15648756221,45.7676325239662,Muito Crítico,,,,,,51.8867924528302,35.8490566037736,11.3207547169811,0.943396226415094,333,212,63.6636636636637
225336,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2303709,Caucaia,23062126,BRANCA CARNEIRO DE MENDONCA EEFM,2008,239.193040900019,45.0703606290475,Crítico,,,,,,38.4401114206128,38.7186629526462,20.3342618384401,2.50696378830084,484,359,74.1735537190083
225337,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307700,Maranguape,23185112,CAIC SENADOR CARLOS JEREISSATI EEFM,2008,239.07211974584,42.1855761522265,Crítico,,,,,,34.6938775510204,41.8367346938776,21.4285714285714,2.04081632653061,154,98,63.6363636363636
225338,3ª Série Ensino Médio,Língua Portuguesa,Estadual,1,MARACANAU,2307650,Maracanaú,23079851,CARNEIRO DE MENDONCA EEFM,2008,230.576719315725,38.125903498169,Crítico,,,,,,44.9275362318841,44.9275362318841,8.69565217391304,1.44927536231884,93,69,74.1935483870968
