Etapa,Componente,Rede,Código da CREDE,CREDE,Código do Município,Município,Edição,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,% Não Alfabetizado,% Alfabetização Incompleta,% Intermediário (2º Ano),% Suficiente,% Desejável,% Muito Crítico,% Crítico,% Intermediário,% Adequado,Nº de Alunos Previstos,Nº de Alunos Avaliados,Participação (%)
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,20,BREJO SANTO,2300101,Abaiara,2007,72.2528671390079,50.1990158224725,Não Alfabetizado,67.3076923076923,13.4615384615385,5.76923076923077,3.84615384615385,9.61538461538462,,,,,96,52,54.1666666666667
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,8,BATURITE,2300150,Acarape,2007,161.244334149342,75.0662736458604,Desejável,16.2162162162162,6.94980694980695,10.4247104247104,13.1274131274131,53.2818532818533,,,,,348,259,74.4252873563218
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,3,ACARAU,2300200,Acaraú,2007,137.549840956176,73.6664570877067,Suficiente,25.2242152466368,12.780269058296,10.9865470852018,10.0896860986547,40.9192825112108,,,,,1087,892,82.0607175712972
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,16,IGUATU,2300309,Acopiara,2007,103.573683215216,62.7717839019295,Intermediário,39.8809523809524,16.3690476190476,13.6904761904762,10.5654761904762,19.4940476190476,,,,,1070,672,62.803738317757
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,15,TAUA,2300408,Aiuaba,2007,106.120730676952,70.5743410979651,Intermediário,44.9324324324324,10.8108108108108,13.8513513513514,5.40540540540541,25.0,,,,,366,296,80.8743169398907
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2300507,Alcâtaras,2007,108.293806017559,59.1612267128493,Intermediário,32.421875,19.140625,15.234375,12.109375,21.09375,,,,,296,256,86.4864864864865
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,18,CRATO,2300606,Altaneira,2007,164.495196603324,73.4812817173171,Desejável,16.9014084507042,7.04225352112676,8.45070422535211,5.63380281690141,61.9718309859155,,,,,95,71,74.7368421052632
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,10,RUSSAS,2300705,Alto Santo,2007,115.512406318099,75.5639966542252,Intermediário,37.5478927203065,13.7931034482759,9.57854406130268,7.27969348659004,31.8007662835249,,,,,384,261,67.96875
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,2,ITAPIPOCA,2300754,Amontada,2007,107.234017390472,65.9769189998255,Intermediário,38.9655172413793,15.6896551724138,14.1379310344828,9.13793103448276,22.0689655172414,,,,,739,580,78.4844384303112
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,18,CRATO,2300804,Antonina do Norte,2007,98.4387275150209,57.7039133046799,Alfabetização Incompleta,40.4907975460123,18.4049079754601,15.9509202453988,6.74846625766871,18.4049079754601,,,,,192,163,84.8958333333333
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,2,ITAPIPOCA,2300903,Apuiarés,2007,99.7697189709229,58.0456826301938,Alfabetização Incompleta,44.2477876106195,15.929203539823,13.2743362831858,5.30973451327434,21.2389380530973,,,,,138,113,81.8840579710145
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,1,MARACANAU,2301000,Aquiraz,2007,118.146222592132,65.8009612458271,Intermediário,31.0943396226415,15.7735849056604,14.188679245283,11.0188679245283,27.9245283018868,,,,,1705,1325,77.7126099706745
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,10,RUSSAS,2301109,Aracati,2007,132.30977621534,71.5181293339834,Suficiente,26.9757639620653,10.6427818756586,12.118018967334,12.3287671232877,37.9346680716544,,,,,1265,949,75.0197628458498
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,8,BATURITE,2301208,Aracoiaba,2007,108.305829737229,67.9024479105656,Intermediário,39.4101876675603,15.5495978552279,10.9919571045576,11.2600536193029,22.7882037533512,,,,,477,373,78.1970649895178
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,13,CRATEUS,2301257,Ararendá,2007,94.7465994315329,54.7500004587592,Alfabetização Incompleta,43.6123348017621,16.2995594713656,14.0969162995595,9.69162995594714,16.2995594713656,,,,,276,227,82.2463768115942
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,18,CRATO,2301307,Araripe,2007,107.051075190535,63.4198827166602,Intermediário,36.8421052631579,19.0611664295875,13.9402560455192,7.82361308677098,22.3328591749644,,,,,892,703,78.8116591928251
